tarief_id	groep_id	dienst_naam	basis_prijs	prijs_indicatie	gradatie_afhankelijk	is_behandeling
1	1	Dames Snit zonder drogen of brushen	60		true	false
2	1	Wassen, snit en handdrogen	72		true	false
3	1	Extra stylen	12	Per 10 min	false	false
4	1	Wassen, snit en stylen	87	Vanaf	true	false
5	1	Wassen en stylen	42	Vanaf	true	false
6	1	botanical therapy	37		false	true
7	1	scalp solutions balancing treatment	55		false	true
8	1	Styling feestkapsel incl. wassen en brushen	120	Vanaf	true	false
9	2	Wassen, snit en stylen	41	Vanaf	true	false
10	2	kleuren	65	Vanaf	true	false
11	2	kleuren half	55	Vanaf	true	false
12	2	permanent volledig	90	Vanaf	true	false
13	2	permanent half	65	Vanaf	true	false
14	3	Permanente kleuren	81	Vanaf	true	false
15	3	Bijwerken uitgroei	68	Vanaf	true	false
16	3	Mèshes met de kam (kort haar)	61	Vanaf	true	false
17	3	High- of lowlights volledig hoofd met spatola en folie	102	Vanaf	true	false
18	3	High- of lowlights volledig hoofd met spatola	88	Vanaf	true	false
19	3	Permanenten half	65	Vanaf	true	false
20	3	Permanenten volledig	90	Vanaf	true	false
21	3	Lokken kap	77	Vanaf	true	false
22	3	Ontkleuring + verzorging	87	Vanaf	true	false
